Accel_x,Accel_y,Accel_z
-1.004,2.593,1.702
-1.171,2.675,1.769
-1.351,2.725,1.755
-1.405,2.711,1.764
-1.476,2.656,1.696
-1.482,2.513,1.64
-1.419,2.357,1.501
-1.322,2.211,1.354
-1.27,2.059,1.187
-1.165,1.978,1.031
-1.063,1.83,0.958
-0.971,1.702,0.835
-0.928,1.587,0.734
-0.85,1.532,0.692
-0.771,1.415,0.625
-0.73,1.353,0.576
-0.648,1.223,0.553
-0.604,1.087,0.518
-0.514,1.035,0.484
-0.397,0.85,0.466
-0.35,0.794,0.434
-0.244,0.659,0.425
-0.19,0.526,0.408
-0.093,0.475,0.398
-0.003,0.386,0.399
0.035,0.323,0.414
0.108,0.285,0.425
0.124,0.277,0.386
0.19,0.357,0.562
0.247,0.142,0.527
0.213,0.179,0.525
0.204,0.185,0.526
0.234,0.212,0.617
0.242,0.242,0.574
0.27,0.29,0.782
0.274,0.349,0.796
0.218,0.384,0.867
0.149,0.524,0.926
0.162,0.501,1.006
0.17,0.498,1.063
0.173,0.432,1.069
0.157,0.413,1.01
0.148,0.391,0.981
0.163,0.315,0.919
0.169,0.3,0.883
0.162,0.284,0.817
0.135,0.305,0.795
0.119,0.259,0.744
0.098,0.343,0.744
0.107,0.244,0.729
0.081,0.325,0.732
0.036,0.347,0.871
0.03,0.322,0.794
0.024,0.318,0.842
0.019,0.342,0.864
0.034,0.319,0.92
0.081,0.331,0.959
0.108,0.284,1.03
0.148,0.26,1.062
0.208,0.215,1.134
0.248,0.178,1.198
0.317,0.099,1.228
0.337,0.038,1.275
0.361,-0.016,1.296
0.363,-0.038,1.297
0.347,-0.071,1.271
0.336,-0.077,1.229
0.297,-0.063,1.202
0.284,-0.071,1.149
0.223,-1.234,0.682
0.325,-1.326,0.709
0.376,-1.421,0.745
0.485,-1.466,0.769
0.581,-1.54,0.813
0.626,-1.582,0.85
0.714,-1.593,0.865
0.788,-1.586,0.892
0.816,-1.55,0.911
0.859,-1.515,0.926
0.889,-1.396,0.929
0.897,-1.183,0.973
0.909,-1.068,1.038
0.895,-0.85,1.064
0.884,-0.654,1.119
0.867,-0.558,1.17
0.843,-0.331,1.24
0.81,-0.061,1.28
0.789,0.26,1.362
0.734,0.433,1.405
0.699,0.766,1.476
0.594,0.914,1.508
0.398,1.16,1.545
0.356,1.261,1.548
0.188,1.464,1.508
0.194,1.599,1.603
-0.101,1.666,1.388
-0.18,2.025,1.45
-0.343,2.107,1.408
-0.581,2.304,1.328
-0.671,2.419,1.272
-0.881,2.456,1.214
-0.961,2.651,1.191
-1.095,2.693,1.164
-1.162,2.787,1.137
-1.297,2.792,1.069
-1.362,2.75,1.023
-1.375,2.616,0.919
-1.377,2.543,0.825
-1.313,2.394,0.774
-1.265,2.315,0.67
-1.153,2.155,0.621
-1.088,2.001,0.529
-0.941,1.92,0.457
-0.797,1.761,0.427
