Accel_x,Accel_y,Accel_z
0.025,0.568,-1.472
0.037,0.527,-1.362
0.077,0.516,-1.179
0.096,0.455,-1.2
0.081,0.402,-1.121
0.037,0.315,-1.081
0.01,0.239,-1.048
-0.01,0.188,-0.962
-0.047,0.139,-0.946
-0.088,0.131,-0.895
-0.148,0.116,-0.861
-0.198,0.107,-0.802
-0.214,0.014,-0.729
-0.241,-0.032,-0.677
-0.268,-0.094,-0.569
-0.266,-0.119,-0.491
-0.247,-0.168,-0.467
-0.242,-0.19,-0.431
-0.246,-0.198,-0.42
-0.282,-0.214,-0.413
-0.314,-0.214,-0.372
-0.318,-0.206,-0.328
-0.33,-0.205,-0.312
-0.343,-0.218,-0.253
-0.369,-0.219,-0.174
-0.395,-0.221,-0.145
-0.431,-0.238,-0.099
-0.443,-0.244,-0.06
-0.448,-0.249,-0.056
-0.456,-0.251,-0.061
-0.471,-0.249,-0.079
-0.51,-0.261,-0.082
-0.521,-0.297,-0.089
-0.519,-0.316,-0.103
-0.51,-0.328,-0.121
-0.516,-0.339,-0.164
-0.522,-0.353,-0.201
-0.527,-0.38,-0.208
-0.524,-0.379,-0.199
-0.533,-0.394,-0.193
-0.558,-0.405,-0.174
-0.572,-0.419,-0.163
-0.599,-0.42,-0.135
-0.61,-0.414,-0.103
-0.626,-0.416,-0.092
-0.635,-0.424,-0.097
-0.643,-0.439,-0.108
-0.646,-0.447,-0.123
-0.651,-0.464,-0.133
-0.647,-0.478,-0.144
-0.64,-0.491,-0.152
-0.631,-0.496,-0.15
0.057,0.431,-1.586
0.056,0.401,-1.667
0.052,0.369,-1.698
0.057,0.339,-1.746
0.058,0.315,-1.773
0.053,0.315,-1.777
0.053,0.337,-1.778
0.053,0.356,-1.769
0.057,0.389,-1.764
0.058,0.395,-1.745
0.05,0.398,-1.717
0.036,0.425,-1.697
0.036,0.445,-1.648
0.044,0.485,-1.628
0.049,0.522,-1.598
0.045,0.528,-1.56
0.028,0.522,-1.542
0.019,0.475,-1.498
0.014,0.447,-1.469
0.043,0.393,-1.394
0.056,0.364,-1.328
0.066,0.332,-1.306
0.071,0.314,-1.236
0.067,0.314,-1.159
0.054,0.191,-1.142
0.02,0.217,-1.107
-0.01,0.203,-1.071
-0.032,0.211,-1.038
-0.08,0.199,-0.99
-0.103,0.172,-0.958
-0.108,0.103,-0.895
-0.128,0.066,-0.826
-0.133,0.012,-0.793
-0.129,-0.01,-0.727
-0.128,-0.041,-0.709
-0.129,-0.08,-0.694
-0.132,-0.109,-0.675
-0.161,-0.111,-0.67
-0.189,-0.14,-0.656
-0.183,-0.171,-0.648
-0.17,-0.21,-0.643
-0.194,-0.192,-0.618
-0.209,-0.196,-0.537
-0.246,-0.212,-0.427
-0.291,-0.244,-0.338
-0.329,-0.26,-0.3
-0.339,-0.245,-0.242
-0.361,-0.249,-0.207
-0.39,-0.276,-0.192
-0.404,-0.291,-0.203
-0.432,-0.301,-0.216
-0.441,-0.32,-0.225
-0.447,-0.345,-0.242
-0.452,-0.362,-0.25
-0.453,-0.375,-0.125
-0.46,-0.401,-0.232
-0.468,-0.41,-0.198
-0.479,-0.42,-0.181
-0.488,-0.443,-0.147
-0.493,-0.456,-0.123
-0.515,-0.462,-0.1
-0.535,-0.475,-0.081
-0.551,-0.473,-0.071
-0.562,-0.471,-0.07
-0.563,-0.482,-0.088
-0.566,-0.487,-0.114
-0.579,-0.482,-0.126
-0.585,-0.483,-0.14
-0.581,-0.496,-0.128
-0.582,-0.498,-0.112
-0.594,-0.498,-0.087
-0.595,-0.504,-0.072
-0.59,-0.507,-0.048
-0.581,-0.507,-0.031
-0.586,-0.5,-0.024
-0.588,-0.501,-0.009
-0.586,-0.501,0.008
-0.578,-0.507,0.015
-0.572,-0.513,0.017
-0.567,-0.515,0.01
-0.562,-0.521,0.002
-0.56,-0.519,-0.009
-0.553,-0.518,-0.011
-0.551,-0.516,-0.009
-0.55,-0.509,0.003
-0.547,-0.51,0.016
-0.536,-0.509,0.027
-0.534,-0.51,0.043
-0.528,-0.509,0.061
-0.52,-0.505,0.072
-0.52,-0.498,0.1
-0.52,-0.489,0.118
-0.514,-0.487,0.153
-0.507,-0.483,0.18
-0.505,-0.471,0.185
-0.51,-0.457,0.194
-0.514,-0.452,0.191
-0.518,-0.44,0.187
-0.524,-0.421,0.18
-0.538,-0.415,0.169
-0.542,-0.407,0.163
-0.543,-0.402,0.138
-0.544,-0.402,0.103
-0.554,-0.399,0.058
-0.567,-0.398,0.036
-0.572,-0.407,-0.006
-0.576,-0.412,-0.044
-0.577,-0.424,-0.064
-0.578,-0.436,-0.108
-0.579,-0.442,-0.134
-0.582,-0.454,-0.14
-0.585,-0.472,-0.152
-0.575,-0.48,-0.15
-0.556,-0.487,-0.145
-0.549,-0.492,-0.123
-0.541,-0.491,-0.109
-0.525,-0.488,-0.092
-0.498,-0.478,-0.085
-0.478,-0.461,-0.099
-0.279,0.639,-1.075
-0.28,0.615,-1.158
-0.281,0.608,-1.209
-0.287,0.609,-1.238
-0.289,0.59,-1.248
-0.277,0.632,-1.232
-0.228,0.569,-1.198
-0.305,0.496,-1.31
-0.205,0.47,-1.363
-0.134,0.438,-1.255
-0.069,0.478,-1.161
-0.06,0.553,-1.124
-0.066,0.572,-1.072
-0.094,0.602,-1.065
-0.103,0.651,-1.003
-0.118,0.679,-0.948
-0.168,0.721,-0.939
-0.197,0.744,-0.967
-0.236,0.732,-1.001
-0.253,0.719,-1.055
-0.263,0.76,-1.085
-0.259,0.787,-1.134
-0.259,0.816,-1.154
-0.272,0.827,-1.178
-0.282,0.824,-1.19
-0.301,0.793,-1.2
-0.307,0.771,-1.215
-0.307,0.772,-1.209
-0.294,0.786,-1.198
-0.283,0.797,-1.166
-0.282,0.799,-1.143
-0.285,0.788,-1.137
-0.277,0.769,-1.145
-0.264,0.725,-1.181
-0.234,0.655,-1.23
-0.205,0.626,-1.289
-0.178,0.568,-1.319
-0.167,0.523,-1.384
-0.141,0.49,-1.449
-0.123,0.419,-1.477
-0.117,0.266,-1.526
-0.095,0.335,-1.547
-0.076,0.32,-1.567
-0.065,0.346,-1.562
-0.039,0.367,-1.554
-0.01,0.411,-1.547
-0.001,0.441,-1.514
-0.006,0.46,-1.487
0,0.508,-1.485
0.001,0.53,-1.506
-0.003,0.565,-1.515
-0.007,0.611,-1.537
-0.018,0.645,-1.573
-0.028,0.701,-1.594
-0.031,0.718,-1.63
-0.049,0.737,-1.647
-0.083,0.741,-1.672
-0.075,0.739,-1.668
-0.06,0.715,-1.652
-0.045,0.664,-1.605
-0.027,0.637,-1.565
0.017,0.59,-1.472
0.025,0.577,-1.384
0.027,0.542,-1.33
0.012,0.478,-1.255
0.031,0.378,-1.136
0.013,0.3,-1.101
0.011,0.296,-1.002
0.018,0.272,-0.951
-0.008,0.267,-0.894
-0.078,0.262,-0.866
-0.155,0.23,-0.811
-0.197,0.192,-0.773
-0.27,0.145,-0.757
-0.296,0.109,-0.72
-0.313,0.07,-0.665
-0.306,0.014,-0.637
-0.304,-0.028,-0.61
-0.296,-0.074,-0.602
-0.28,-0.146,-0.603
-0.273,-0.136,-0.629
-0.289,-0.122,-0.643
-0.316,-0.151,-0.63
-0.332,-0.184,-0.578
-0.349,-0.182,-0.543
-0.347,-0.165,-0.456
-0.347,-0.172,-0.366
-0.351,-0.203,-0.297
-0.386,-0.203,-0.267
-0.411,-0.189,-0.207
-0.456,-0.196,-0.131
-0.472,-0.21,-0.081
-0.489,-0.216,-0.021
-0.519,-0.225,-0.006
-0.512,-0.272,-0.015
-0.504,-0.314,-0.031
-0.503,-0.327,-0.073
-0.481,-0.366,-0.103
-0.44,-0.407,-0.187
